State,District,Year,District Year,Dem%,Rep%,Oth%,M%,Winner
MI,7,2004,2004,44.9,54.4,0.7,9.4,Bush
MI,8,2004,2004,45.4,53.9,0.8,8.4,Bush
MI,9,2004,2004,49.2,50.9,0,1.7,Bush
MI,10,2004,2004,43,56.5,0.5,13.5,Bush
MI,11,2004,2004,47.2,52.9,0,5.7,Bush
MI,12,2004,2004,60.7,39.3,0,-21.4,Kerry
MI,13,2004,2004,80.7,19.3,0,-61.5,Kerry
MI,14,2004,2004,82.6,17.4,0,-65.1,Kerry
MI,15,2004,2004,61.7,38.2,0.2,-23.5,Kerry
MN,1,2004,2004,47.4,51.1,1.5,3.6,Bush
MN,2,2004,2004,45,53.9,1.1,9,Bush
MN,3,2004,2004,48.1,51,1,2.9,Bush
MN,4,2004,2004,61.7,37,1.3,-24.7,Kerry
MN,5,2004,2004,70.8,27.7,1.5,-43.1,Kerry
MN,6,2004,2004,42.2,56.6,1.2,14.4,Bush
MN,7,2004,2004,43.1,55.4,1.5,12.4,Bush
MN,8,2004,2004,52.6,46.1,1.4,-6.5,Kerry
MS,1,2004,2004,36.9,62.3,0.8,25.3,Bush
MS,2,2004,2004,59,40.2,0.9,-18.8,Kerry
MS,3,2004,2004,34.2,65.3,0.6,31.1,Bush
MS,4,2004,2004,31.1,68.3,0.6,37.2,Bush
MO,1,2004,2004,75.2,24.8,0,-50.4,Kerry
MO,2,2004,2004,39.9,60.1,0,20.2,Bush
MO,3,2004,2004,56.8,43,0.2,-13.8,Kerry
MO,4,2004,2004,35.2,64.2,0.6,29,Bush
MO,5,2004,2004,59.5,40.3,0.2,-19.1,Kerry
MO,6,2004,2004,42.2,57.1,0.6,14.9,Bush
MO,7,2004,2004,32.3,67.1,0.6,34.8,Bush
MO,8,2004,2004,35.8,63.5,0.7,27.7,Bush
MO,9,2004,2004,40.7,58.7,0.7,18,Bush
MT,1,2004,2004,38.6,59.1,2.4,20.5,Bush
NE,1,2004,2004,35.7,62.9,1.4,27.2,Bush
NE,2,2004,2004,38.5,60.2,1.4,21.7,Bush
NE,3,2004,2004,23.7,74.9,1.4,51.2,Bush
NV,1,2004,2004,56.6,41.8,1.6,-14.7,Kerry
NV,2,2004,2004,41,57.2,1.9,16.2,Bush
NV,3,2004,2004,48.6,49.9,1.5,1.3,Bush
NH,1,2004,2004,48.4,50.8,0.8,2.3,Bush
NH,2,2004,2004,52,47,0.9,-5,Kerry
NJ,1,2004,2004,60.6,39.4,0,-21.2,Kerry
NJ,2,2004,2004,49.1,50,0.9,0.8,Bush
NJ,3,2004,2004,48.7,51.3,0,2.5,Bush
NJ,4,2004,2004,43.8,56.2,0,12.4,Bush
NJ,5,2004,2004,42.5,57.3,0.2,14.7,Bush
NJ,6,2004,2004,56.8,43.2,0,-13.5,Kerry
NJ,7,2004,2004,46.9,53.1,0,6.3,Bush
NJ,8,2004,2004,58.9,41.1,0,-17.8,Kerry
NJ,9,2004,2004,58.8,41.2,0,-17.7,Kerry
NJ,10,2004,2004,82.1,17.9,0,-64.1,Kerry
NJ,11,2004,2004,41.8,57.6,0.6,15.8,Bush
NJ,12,2004,2004,54.5,45.5,0,-9,Kerry
NJ,13,2004,2004,69,31.1,0,-37.9,Kerry
NM,1,2004,2004,51.1,47.9,1.1,-3.2,Kerry
NM,2,2004,2004,41.3,57.7,1,16.5,Bush
NM,3,2004,2004,53.5,45.5,1,-8.1,Kerry
NY,1,2004,2004,48.7,49.4,1.9,0.7,Bush
NY,2,2004,2004,52.7,45.3,2,-7.5,Kerry
NY,3,2004,2004,46.9,51.7,1.4,4.7,Bush
NY,4,2004,2004,54.6,44.3,1.1,-10.3,Kerry
NY,5,2004,2004,62.7,36.5,0.9,-26.2,Kerry
NY,6,2004,2004,84.4,15,0.6,-69.5,Kerry
NY,7,2004,2004,73.9,25.4,0.8,-48.5,Kerry
NY,8,2004,2004,72.1,26.8,1.1,-45.3,Kerry
NY,9,2004,2004,55.7,43.5,0.8,-12.1,Kerry
NY,10,2004,2004,86.3,13.1,0.6,-73.2,Kerry
NY,11,2004,2004,86.1,13.1,0.8,-73.1,Kerry
NY,12,2004,2004,80.4,18.5,1.1,-61.9,Kerry
NY,13,2004,2004,44.5,54.6,0.9,10.1,Bush
NY,14,2004,2004,74.3,24.5,1.2,-49.8,Kerry
NY,15,2004,2004,89.7,9.3,1,-80.4,Kerry
NY,16,2004,2004,89.3,10.1,0.6,-79.2,Kerry
NY,17,2004,2004,66.8,33,0.3,-33.8,Kerry
NY,18,2004,2004,57.8,42.2,0,-15.6,Kerry
NY,19,2004,2004,45.4,53.9,0.7,8.4,Bush
NY,20,2004,2004,45.7,53.5,0.8,7.9,Bush
NY,21,2004,2004,55.1,43.2,1.7,-11.9,Kerry
NY,22,2004,2004,53.7,45,1.3,-8.7,Kerry
NY,23,2004,2004,47,51.2,1.8,4.2,Bush
NY,24,2004,2004,46.6,52.6,0.8,6,Bush
NY,25,2004,2004,50.3,47.8,1.9,-2.5,Kerry
NY,26,2004,2004,43.2,55.4,1.4,12.2,Bush
NY,27,2004,2004,53.2,44.5,2.3,-8.7,Kerry
NY,28,2004,2004,62.5,35.7,1.8,-26.9,Kerry
NY,29,2004,2004,42,56.5,1.5,14.4,Bush
NC,1,2004,2004,57.4,42.4,0.3,-14.9,Kerry
NC,2,2004,2004,45.6,54.1,0.3,8.6,Bush
NC,3,2004,2004,31.9,67.8,0.3,35.8,Bush
NC,4,2004,2004,55.2,44.3,0.5,-11,Kerry
NC,5,2004,2004,33.3,66.3,0.4,33.1,Bush
NC,6,2004,2004,30.2,69.4,0.4,39.3,Bush
NC,7,2004,2004,43.7,55.9,0.3,12.2,Bush
NC,8,2004,2004,45.4,54.3,0.4,9,Bush
NC,9,2004,2004,36.3,63.4,0.4,27.1,Bush
NC,10,2004,2004,32.7,66.9,0.4,34.1,Bush
NC,11,2004,2004,42.5,56.9,0.6,14.4,Bush
NC,12,2004,2004,62.5,37.1,0.4,-25.4,Kerry
NC,13,2004,2004,52.4,47.2,0.4,-5.2,Kerry
ND,1,2004,2004,35.5,62.9,1.6,27.4,Bush
OH,1,2004,2004,49.5,50.5,0,1.1,Bush
OH,2,2004,2004,36,63.9,0.1,27.9,Bush
OH,3,2004,2004,45.5,54.5,0,9,Bush
OH,4,2004,2004,34.4,65.2,0.5,30.8,Bush
OH,5,2004,2004,38.5,61,0.5,22.5,Bush
OH,6,2004,2004,49,50.7,0.3,1.6,Bush
OH,7,2004,2004,42.7,56.9,0.4,14.3,Bush
OH,8,2004,2004,35.4,64.5,0.1,29.1,Bush
OH,9,2004,2004,58.3,41.6,0,-16.7,Kerry
OH,10,2004,2004,58.1,41.5,0.5,-16.6,Kerry
OH,11,2004,2004,81.4,18,0.7,-63.4,Kerry
OH,12,2004,2004,49.1,50.9,0.1,1.8,Bush
OH,13,2004,2004,55.7,44.2,0.1,-11.5,Kerry
OH,14,2004,2004,47.1,52.6,0.4,5.5,Bush
OH,15,2004,2004,49.6,50.3,0.1,0.7,Bush
OH,16,2004,2004,45.8,53.8,0.3,8,Bush
OH,17,2004,2004,62.8,37.2,0,-25.6,Kerry
OH,18,2004,2004,42.5,57.1,0.4,14.6,Bush
OK,1,2004,2004,34.6,65.4,0,30.8,Bush
OK,2,2004,2004,40.6,59.4,0,18.8,Bush
OK,3,2004,2004,28.3,71.7,0,43.4,Bush
OK,4,2004,2004,33,67,0,34,Bush
OK,5,2004,2004,35.9,64.1,0,28.3,Bush
OR,1,2004,2004,54.7,44.1,1.2,-10.6,Kerry
OR,2,2004,2004,37.8,60.9,1.4,23.1,Bush
OR,3,2004,2004,67,32.8,0.2,-34.2,Kerry
OR,4,2004,2004,49.4,49.1,1.5,-0.3,Kerry
OR,5,2004,2004,48.8,50.1,1.1,1.2,Bush
PA,1,2004,2004,84.4,15.4,0.2,-69,Kerry
PA,2,2004,2004,87.3,12.4,0.3,-74.9,Kerry
PA,3,2004,2004,46.6,53.1,0.3,6.5,Bush
PA,4,2004,2004,45.2,54.5,0.4,9.3,Bush
PA,5,2004,2004,38.8,60.9,0.4,22.1,Bush
PA,6,2004,2004,51.5,48.2,0.3,-3.3,Kerry
PA,7,2004,2004,53,46.9,0.1,-6.1,Kerry
PA,8,2004,2004,51.4,48,0.6,-3.4,Kerry
PA,9,2004,2004,32.6,67.2,0.2,34.5,Bush
PA,10,2004,2004,39.6,60,0.4,20.3,Bush
PA,11,2004,2004,52.7,47,0.3,-5.6,Kerry
PA,12,2004,2004,51.4,48.5,0,-2.9,Kerry
PA,13,2004,2004,56.2,43.4,0.4,-12.8,Kerry
PA,14,2004,2004,69.4,29.8,0.8,-39.6,Kerry
PA,15,2004,2004,49.9,49.7,0.5,-0.2,Kerry
PA,16,2004,2004,38.1,61.5,0.5,23.4,Bush
PA,17,2004,2004,41.6,57.8,0.6,16.2,Bush
PA,18,2004,2004,45.5,54.1,0.4,8.6,Bush
PA,19,2004,2004,35.6,63.9,0.5,28.4,Bush
RI,1,2004,2004,61.7,36.4,1.8,-25.3,Kerry
RI,2,2004,2004,57.2,40.8,2,-16.5,Kerry
SC,1,2004,2004,38.7,60.9,0.5,22.2,Bush
SC,2,2004,2004,39.4,60.1,0.6,20.7,Bush
SC,3,2004,2004,33.7,65.6,0.8,31.9,Bush
SC,4,2004,2004,33.9,64.9,1.2,31,Bush
SC,5,2004,2004,41.9,57.1,1,15.2,Bush
SC,6,2004,2004,60.7,39.1,0.2,-21.6,Kerry
SD,1,2004,2004,38.4,59.9,1.7,21.5,Bush
TN,1,2004,2004,31.4,67.9,0.7,36.5,Bush
TN,2,2004,2004,34.8,64.4,0.8,29.7,Bush
TN,3,2004,2004,38.2,61,0.8,22.8,Bush
TN,4,2004,2004,41.3,58,0.7,16.8,Bush
TN,5,2004,2004,51.7,47.5,0.7,-4.2,Kerry
TN,6,2004,2004,39.7,59.7,0.6,20,Bush
TN,7,2004,2004,33.4,65.9,0.7,32.4,Bush
TN,8,2004,2004,46.7,52.8,0.6,6.1,Bush
TN,9,2004,2004,69.6,30,0.4,-39.6,Kerry
TX,1,2004,2004,30.6,69.4,0,38.8,Bush
TX,2,2004,2004,36.7,63.3,0,26.7,Bush
TX,3,2004,2004,33.2,66.8,0,33.7,Bush
